pickup_zone,count,mean_abs_error,median_abs_error,mean_error,rmse,p95_abs_error
40.75_-73.99,117,105.46242010946634,80.87691949670602,23.96956099118168,142.80746862891218,281.22099345300467
40.76_-73.97,119,87.94297904023975,66.2023164299892,18.26460161178323,120.89725146578195,250.86824626754907
40.76_-73.98,119,87.29556629509277,60.84638615096151,12.127822409377224,119.53121918605281,235.71176798715067
40.76_-73.99,120,74.40929742251576,61.094542304850336,19.343057536034117,96.69158960648595,195.75654161793665
40.75_-73.98,118,71.87801596226598,43.46124985024619,15.34941844879743,106.10918104039162,219.43024075409397
40.74_-73.99,117,66.5876682216951,52.104330957118805,18.722286239018104,92.91380474002443,187.10230326171109
40.77_-73.98,119,66.14817634689047,43.30426203114018,19.40273407257527,92.05875296979286,191.3353085084736
40.77_-73.96,119,57.65124215951556,35.733899761374175,17.407967248450046,83.0881786619075,171.85147796834394
40.77_-73.87,103,57.135208641980874,46.6838755991795,9.960210321454252,74.15332117999493,145.16051166168
40.73_-73.99,118,56.54548522860944,40.34434519986564,25.687751592992182,77.07300086822785,182.94540420305302
40.78_-73.98,116,55.34924508948777,42.90391000509125,13.361224463470496,73.56275524166058,146.48839334679866
40.74_-74.0,116,51.94001204361401,42.75285206901245,21.925226368495196,70.67996764315372,134.19231888530956
40.78_-73.96,119,51.052470339508815,27.02413520280345,12.55869247569666,75.60248749907977,165.89891834500915
40.78_-73.95,119,50.952953740828384,31.038506024786898,18.175081705561688,71.72005636966186,144.49403466995926
40.73_-74.0,118,48.75355755751796,39.91827530156888,18.943753786952808,67.04932330969893,140.29739740990047
40.75_-73.97,118,46.239765825210554,30.153291159898515,2.5421754317864247,63.30314369346191,128.4443188279236
40.74_-73.98,118,44.76145750804934,27.013202405040204,15.916393765895954,65.3950325987936,155.60678181869542
40.72_-73.99,119,39.98876426203351,29.264668579713714,9.030485006098926,57.43628304355287,113.62669561469542
40.77_-73.95,117,39.66620770218144,30.303776512190893,2.6695822108629033,57.85917070958116,105.82734128872106
40.77_-73.99,115,39.228141803458925,25.39730757843671,4.490396886568313,66.67445218010417,96.91384385082628
40.75_-74.0,116,37.34984416069045,29.767778869457146,6.633857094698725,51.59282537899457,85.21675904462182
40.73_-73.98,116,36.43474194077094,26.76781606484424,11.30195486364034,49.0039405658387,110.37921075593617
40.79_-73.97,116,35.632826823636435,25.46042286043172,8.966871428139852,48.72131559364665,94.69183916283058
40.77_-73.86,88,35.11501853524945,30.533563544835538,0.25714642529256,44.777904718632634,81.3516605272316
40.76_-73.96,117,34.08959309671614,22.87586923076924,4.514265441319865,47.53723264224078,94.75882235734808
40.72_-74.01,116,33.37855697883579,29.428937327987185,4.104998085092965,43.34217655712144,84.94488058781114
40.71_-74.01,114,33.35890145098781,29.26980106338216,6.988199384296874,41.63243551335066,69.28145460838955
40.74_-74.01,115,32.18414505822635,24.61589237617264,9.4505956764279,41.980703887163536,87.13058404099418
40.77_-73.97,115,32.09550757432935,22.272872220345846,5.13917167511096,44.91624767688375,85.76514317778896
40.72_-74.0,116,31.225768268277232,24.35685602245807,11.80145039808194,41.530056367322324,79.30803740755417
40.76_-74.0,114,25.706135751718378,21.215890994076364,6.687023610035157,33.20150678701543,68.83026426673705
40.73_-74.01,114,25.672874481852393,18.021754455611017,2.003531992266783,34.682848567471204,64.71762555159593
40.64_-73.78,112,25.525910906907853,22.123917876975298,-0.3697754800928372,31.44443516563543,52.88301737195185
40.65_-73.78,107,24.945621410848656,20.72883191415937,1.0555000630007598,31.099324170621824,61.903399563273624
40.65_-73.79,101,21.312577718763404,18.814824047347912,-0.4821030891570775,26.381936711916598,48.48505799721643
40.64_-73.79,97,20.572816151379385,16.093848006720748,0.039953937150463074,27.951628426027607,56.79462412644342
40.79_-73.98,114,20.5041213551374,17.054070841369864,2.23849517066163,26.418214110767043,53.906154520890276
40.8_-73.97,113,20.32107731000707,14.508350469785313,4.315337659996117,27.6916402837664,58.87475994242205
40.79_-73.95,116,18.111498571408873,10.846408975689329,1.302064586576902,25.64788602700413,47.150015820446974
40.78_-73.97,113,14.552295285576616,10.663093247023374,2.389054230168895,19.701680399361667,37.25128565872337
40.75_-74.01,110,13.644261352707408,10.457182690913985,2.0628216853974246,18.716631811045037,34.67114872656317
40.71_-74.02,114,13.495984964447999,9.745108724391248,0.7332257298558078,19.990642737147784,36.010880402710654
40.7_-74.01,114,12.899908573372139,10.486693331389294,-0.20511730941639067,17.407782999296916,35.62539712931891
40.74_-73.97,115,12.670733254429905,8.892313473692738,0.39457530306784133,17.36167039302498,36.298664685944146
40.78_-73.99,114,12.619817159926084,9.69901344244061,0.7400920869901567,16.161391463175757,32.139335215111686
40.72_-73.98,115,12.357486839725672,8.617542807747924,4.757320221324355,17.935206581778825,41.08227556386331
